entidad,tramo_gestion,proveedor,tipo,casos_activos_con_telefono,telefonos_total,telefonos_contactados_ivr,telefonos_sin_contacto_ivr,sms_total,sms_cortos,sms_largos,importe_asignado,importe_base_deuda
AUSO,4) 91 a 180 dias,Sin proveedor,MOVIL,10,10,0,10,6,0,6,20891.22,20891.22
AUSO,4) 91 a 180 dias,telecentro,FIJO,335,336,45,291,281,50,231,1842694.22,1842694.22
AUSO,4) 91 a 180 dias,telecentro,MOVIL,2,2,0,2,2,0,2,2237.11,2237.11
AUSO,4) 91 a 180 dias,telecom,FIJO,2225,3072,221,2851,3545,892,2653,32136805.96,32136805.96
AUSO,4) 91 a 180 dias,telefonica,FIJO,2162,3391,273,3118,2382,491,1891,15250760.90,15250760.90
AUSO,5) 181 a 360 dias,claro,FIJO,55,56,9,47,41,5,36,417280.19,417280.19
AUSO,5) 181 a 360 dias,claro,MOVIL,4052,4726,1549,3177,3077,1173,1904,46314434.67,46314434.67
AUSO,5) 181 a 360 dias,movistar,MOVIL,7429,11304,4265,7039,7889,2428,5461,68816866.97,68816866.97
AUSO,5) 181 a 360 dias,personal,MOVIL,5746,7709,3401,4308,16511,2460,14051,59630181.50,59630181.50
AUSO,5) 181 a 360 dias,Sin proveedor,FIJO,524,590,53,537,677,148,529,6024395.95,6024395.95
AUSO,5) 181 a 360 dias,Sin proveedor,MOVIL,14,14,0,14,5,1,4,118383.37,118383.37
AUSO,5) 181 a 360 dias,telecentro,FIJO,496,503,95,408,396,58,338,3853553.84,3853553.84
AUSO,5) 181 a 360 dias,telecentro,MOVIL,2,2,0,2,17,7,10,11709.94,11709.94
AUSO,5) 181 a 360 dias,telecom,FIJO,3343,4660,473,4187,5312,1216,4096,40391125.40,40391125.40
AUSO,5) 181 a 360 dias,telefonica,FIJO,3286,5087,455,4632,3688,673,3015,26395714.92,26395714.92
AUSO,6) Mayor a 360 dias,claro,FIJO,246,247,81,166,182,71,111,938595.76,938595.76
AUSO,6) Mayor a 360 dias,claro,MOVIL,11618,13836,6234,7602,13450,8510,4940,62002980.28,62002980.28
AUSO,6) Mayor a 360 dias,movistar,MOVIL,21492,30706,12690,18016,25125,13836,11289,102870240.85,102870240.85
AUSO,6) Mayor a 360 dias,personal,MOVIL,16574,22251,9362,12889,48956,12310,36646,85535757.77,85535757.77
AUSO,6) Mayor a 360 dias,Sin proveedor,FIJO,1674,1869,180,1689,2796,1123,1673,8813453.30,8813453.30
AUSO,6) Mayor a 360 dias,Sin proveedor,MOVIL,41,41,0,41,78,20,58,180335.44,180335.44
AUSO,6) Mayor a 360 dias,telecentro,FIJO,1944,1959,439,1520,1484,467,1017,6541828.30,6541828.30
AUSO,6) Mayor a 360 dias,telecentro,MOVIL,10,10,0,10,5,1,4,67615.36,67615.36
AUSO,6) Mayor a 360 dias,telecom,FIJO,10894,15246,2018,13228,17834,7010,10824,53084894.15,53084894.15
AUSO,6) Mayor a 360 dias,telefonica,FIJO,10424,15520,2043,13477,11260,3667,7593,36795764.64,36795764.64
AYS3,1) 0 a 30 dias,claro,FIJO,7,7,1,6,11,6,5,22186610.88,3066772.35
AYS3,1) 0 a 30 dias,claro,MOVIL,651,744,301,443,1599,1170,429,1471274730.19,259624287.97
AYS3,1) 0 a 30 dias,movistar,MOVIL,1312,1735,708,1027,3403,2333,1070,3176545999.58,535112797.07
AYS3,1) 0 a 30 dias,personal,MOVIL,821,1006,353,653,5423,1488,3935,1891098144.41,335280453.87
AYS3,1) 0 a 30 dias,Sin proveedor,FIJO,127,143,7,136,346,189,157,322002668.19,46203565.21
AYS3,1) 0 a 30 dias,Sin proveedor,MOVIL,6,6,0,6,16,12,4,9911705.67,3547061.45
AYS3,1) 0 a 30 dias,telecentro,FIJO,174,178,17,161,300,149,151,387026821.18,75353432.73
AYS3,1) 0 a 30 dias,telecom,FIJO,1088,1427,97,1330,1338,708,630,2455106760.88,348845470.40
AYS3,1) 0 a 30 dias,telefonica,FIJO,2641,3723,269,3454,4003,1950,2053,7410285033.18,1128090111.39
AYS3,4) 91 a 180 dias,claro,FIJO,19,19,5,14,62,6,56,33400638.50,8333187.32
AYS3,4) 91 a 180 dias,claro,MOVIL,1445,1654,596,1058,7164,2351,4813,2269853295.37,486574429.84
AYS3,4) 91 a 180 dias,movistar,MOVIL,2756,3820,1273,2547,13192,3396,9796,4287909646.30,871226793.90
AYS3,4) 91 a 180 dias,personal,MOVIL,1839,2289,779,1510,35423,2637,32786,2698360920.68,599550029.72
AYS3,4) 91 a 180 dias,Sin proveedor,FIJO,241,259,18,241,1739,165,1574,376287667.02,75218656.69
AYS3,4) 91 a 180 dias,Sin proveedor,MOVIL,13,13,0,13,92,5,87,15296434.13,3861712.35
AYS3,4) 91 a 180 dias,telecentro,FIJO,313,318,36,282,1272,197,1075,393492848.49,103472970.98
AYS3,4) 91 a 180 dias,telecom,FIJO,2776,3664,266,3398,6701,897,5804,2523277511.73,509533193.67
AYS3,4) 91 a 180 dias,telefonica,FIJO,5195,7374,524,6850,20233,3032,17201,9089745607.84,1901802529.50
AYSA,1) 0 a 30 dias,claro,FIJO,40,40,8,32,0,0,0,8910301.00,8910301.00
AYSA,1) 0 a 30 dias,claro,MOVIL,1998,2330,440,1890,0,0,0,687934181.95,687934181.95
AYSA,1) 0 a 30 dias,movistar,MOVIL,4404,7062,589,6473,0,0,0,1324768059.88,1324768059.88
AYSA,1) 0 a 30 dias,personal,MOVIL,2730,3664,631,3033,0,0,0,832881434.64,832881434.64
AYSA,1) 0 a 30 dias,Sin proveedor,FIJO,304,392,16,376,0,0,0,181241209.14,181241209.14
AYSA,1) 0 a 30 dias,Sin proveedor,MOVIL,17,18,0,18,0,0,0,4197366.07,4197366.07
AYSA,1) 0 a 30 dias,telecentro,FIJO,450,460,28,432,0,0,0,98122922.72,98122922.72
AYSA,1) 0 a 30 dias,telecentro,MOVIL,3,3,0,3,0,0,0,579006.50,579006.50
AYSA,1) 0 a 30 dias,telecom,FIJO,2908,4524,163,4361,0,0,0,793500133.56,793500133.56
AYSA,1) 0 a 30 dias,telefonica,FIJO,6650,12005,151,11854,0,0,0,1645649013.24,1645649013.24
AYSA,2) 31 a 60 dias,claro,FIJO,34,34,8,26,111,49,62,40170504.66,22514386.69
AYSA,2) 31 a 60 dias,claro,MOVIL,1765,2010,970,1040,7263,5079,2184,943996085.86,520593437.24
AYSA,2) 31 a 60 dias,movistar,MOVIL,3549,4724,2243,2481,14269,9336,4933,1953140739.99,1085523048.60
AYSA,2) 31 a 60 dias,personal,MOVIL,2242,2761,1251,1510,22075,5832,16243,1287703841.41,707172262.30
AYSA,2) 31 a 60 dias,Sin proveedor,FIJO,199,212,22,190,1358,572,786,132793685.64,72736365.33
AYSA,2) 31 a 60 dias,Sin proveedor,MOVIL,19,19,0,19,123,41,82,6678034.11,3295704.66
AYSA,2) 31 a 60 dias,telecentro,FIJO,400,406,77,329,1161,564,597,180990903.46,107342724.16
AYSA,2) 31 a 60 dias,telecentro,MOVIL,1,1,0,1,5,5,0,70279.18,54633.27
AYSA,2) 31 a 60 dias,telecom,FIJO,2693,3566,368,3198,7936,3706,4230,1364958535.88,778647857.58
AYSA,2) 31 a 60 dias,telefonica,FIJO,5885,8084,796,7288,14948,6992,7956,2932002350.15,1443431328.70
AYSC,4) 91 a 180 dias,claro,FIJO,1,1,1,0,0,0,0,2784366.79,2784366.79
AYSC,4) 91 a 180 dias,claro,MOVIL,160,182,102,80,2107,2106,1,80011636.64,80011636.64
AYSC,4) 91 a 180 dias,movistar,MOVIL,376,482,284,198,5114,5113,1,176995484.92,176995484.92
AYSC,4) 91 a 180 dias,personal,MOVIL,249,341,171,170,3684,3684,0,143531909.76,143531909.76
AYSC,4) 91 a 180 dias,Sin proveedor,FIJO,19,22,1,21,307,307,0,9226052.41,9226052.41
AYSC,4) 91 a 180 dias,Sin proveedor,MOVIL,1,1,0,1,30,30,0,102152.41,102152.41
AYSC,4) 91 a 180 dias,telecentro,FIJO,40,40,8,32,309,309,0,22436235.90,22436235.90
AYSC,4) 91 a 180 dias,telecom,FIJO,241,382,46,336,1681,1681,0,142539756.94,142539756.94
AYSC,4) 91 a 180 dias,telefonica,FIJO,416,639,88,551,3564,3564,0,188316380.21,188316380.21
AYSE,1) 0 a 30 dias,claro,FIJO,31,31,10,21,46,16,30,2992938.12,2516706.80
AYSE,1) 0 a 30 dias,claro,MOVIL,1499,1735,636,1099,2338,1719,619,198267741.16,163168977.69
AYSE,1) 0 a 30 dias,movistar,MOVIL,3264,4454,1610,2844,5343,3889,1454,429486252.97,353366224.72
AYSE,1) 0 a 30 dias,personal,MOVIL,2045,2554,842,1712,7145,2353,4792,320020762.56,239644474.07
AYSE,1) 0 a 30 dias,Sin proveedor,FIJO,172,202,27,175,450,176,274,47944793.50,37134700.23
AYSE,1) 0 a 30 dias,Sin proveedor,MOVIL,16,16,0,16,28,17,11,1700696.79,1465732.46
AYSE,1) 0 a 30 dias,telecentro,FIJO,302,309,29,280,393,215,178,23817688.85,20468095.37
AYSE,1) 0 a 30 dias,telecom,FIJO,2211,3065,242,2823,2847,1539,1308,260818279.65,218565419.53
AYSE,1) 0 a 30 dias,telefonica,FIJO,4223,6016,522,5494,4668,2465,2203,458415938.42,375492624.00
AYSE,2) 31 a 60 dias,claro,FIJO,7,7,2,5,13,8,5,358593.81,318231.78
AYSE,2) 31 a 60 dias,claro,MOVIL,438,498,234,264,1932,1470,462,91566418.29,77327316.75
AYSE,2) 31 a 60 dias,movistar,MOVIL,1048,1370,611,759,5084,3757,1327,138980255.47,115974387.96
AYSE,2) 31 a 60 dias,personal,MOVIL,668,788,344,444,6935,2149,4786,76751508.83,64793391.10
AYSE,2) 31 a 60 dias,Sin proveedor,FIJO,67,73,8,65,417,174,243,10399702.49,8806699.35
AYSE,2) 31 a 60 dias,Sin proveedor,MOVIL,3,3,0,3,33,33,0,250320.37,217172.14
AYSE,2) 31 a 60 dias,telecentro,FIJO,107,109,22,87,374,196,178,6468930.10,5583755.93
AYSE,2) 31 a 60 dias,telecentro,MOVIL,3,3,0,3,1,1,0,104379.00,92984.46
AYSE,2) 31 a 60 dias,telecom,FIJO,771,1053,106,947,2792,1404,1388,87758638.34,75179748.02
AYSE,2) 31 a 60 dias,telefonica,FIJO,1390,1949,185,1764,4490,2290,2200,109912899.66,90140830.67
AYSJ,4) 91 a 180 dias,claro,FIJO,1,1,0,1,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,claro,MOVIL,14,14,0,14,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,movistar,MOVIL,24,25,0,25,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,personal,MOVIL,21,22,0,22,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,Sin proveedor,FIJO,4,4,0,4,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,telecentro,FIJO,6,6,0,6,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,telecom,FIJO,27,31,0,31,0,0,0,0.00,0.00
AYSJ,4) 91 a 180 dias,telefonica,FIJO,36,37,0,37,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,claro,FIJO,4,4,3,1,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,claro,MOVIL,169,183,106,77,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,movistar,MOVIL,282,296,168,128,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,personal,MOVIL,281,291,131,160,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,Sin proveedor,FIJO,31,32,6,26,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,telecentro,FIJO,49,50,13,37,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,telecom,FIJO,479,567,98,469,0,0,0,0.00,0.00
AYSJ,6) Mayor a 360 dias,telefonica,FIJO,762,880,118,762,0,0,0,0.00,0.00
CVBA,4) 91 a 180 dias,claro,FIJO,2,2,0,2,0,0,0,921823.98,921823.98
CVBA,4) 91 a 180 dias,claro,MOVIL,114,135,0,135,33,33,0,171724493.41,171724493.41
CVBA,4) 91 a 180 dias,movistar,MOVIL,148,242,0,242,43,43,0,206415233.49,206415233.49
CVBA,4) 91 a 180 dias,personal,MOVIL,169,240,0,240,44,44,0,205491897.87,205491897.87
CVBA,4) 91 a 180 dias,Sin proveedor,FIJO,18,43,0,43,5,5,0,42838444.00,42838444.00
CVBA,4) 91 a 180 dias,Sin proveedor,MOVIL,1,1,0,1,0,0,0,697036.96,697036.96
CVBA,4) 91 a 180 dias,telecentro,FIJO,5,5,0,5,3,3,0,7789036.26,7789036.26
CVBA,4) 91 a 180 dias,telecom,FIJO,110,212,0,212,32,32,0,126362041.39,126362041.39
CVBA,4) 91 a 180 dias,telefonica,FIJO,73,172,0,172,18,18,0,149876014.03,149876014.03
CVIA,4) 91 a 180 dias,claro,FIJO,208,208,37,171,51,27,24,1343834.20,1343834.20
CVIA,4) 91 a 180 dias,claro,MOVIL,24578,28538,9771,18767,7624,5282,2342,180254283.20,180254283.20
CVIA,4) 91 a 180 dias,movistar,MOVIL,74280,175701,27643,148058,29111,8526,20585,294374196.61,294374196.61
CVIA,4) 91 a 180 dias,personal,MOVIL,54409,79250,17019,62231,42486,6549,35937,227921665.66,227921665.66
CVIA,4) 91 a 180 dias,Sin proveedor,FIJO,2336,2512,211,2301,840,324,516,15289388.57,15289388.57
CVIA,4) 91 a 180 dias,Sin proveedor,MOVIL,121,123,2,121,25,10,15,368171.10,368171.10
CVIA,4) 91 a 180 dias,telecentro,FIJO,2432,2450,304,2146,1271,691,580,29412625.80,29412625.80
CVIA,4) 91 a 180 dias,telecentro,MOVIL,10,10,0,10,4,0,4,80665.25,80665.25
CVIA,4) 91 a 180 dias,telecom,FIJO,20337,26395,1730,24665,6785,2261,4524,73729353.47,73729353.47
CVIA,4) 91 a 180 dias,telefonica,FIJO,38232,43048,2461,40587,23542,3929,19613,149617102.47,149617102.47
DRPW,1) 0 a 30 dias,claro,FIJO,12,13,0,13,0,0,0,1626015.71,1626015.71
DRPW,1) 0 a 30 dias,claro,MOVIL,1778,2454,0,2454,0,0,0,252807561.52,252807561.52
DRPW,1) 0 a 30 dias,movistar,MOVIL,1264,1950,0,1950,0,0,0,193099396.21,193099396.21
DRPW,1) 0 a 30 dias,personal,MOVIL,2117,3321,0,3321,0,0,0,291843262.63,291843262.63
DRPW,1) 0 a 30 dias,Sin proveedor,FIJO,118,130,0,130,0,0,0,22342690.10,22342690.10
DRPW,1) 0 a 30 dias,Sin proveedor,MOVIL,4,4,0,4,0,0,0,622525.22,622525.22
DRPW,1) 0 a 30 dias,telecentro,FIJO,14,14,0,14,0,0,0,2160491.36,2160491.36
DRPW,1) 0 a 30 dias,telecom,FIJO,325,384,0,384,0,0,0,60954995.18,60954995.18
DRPW,1) 0 a 30 dias,telefonica,FIJO,381,443,0,443,0,0,0,73278402.52,73278402.52
DRTV,1) 0 a 30 dias,claro,FIJO,12,12,0,12,22,10,12,1452412.33,1452412.33
DRTV,1) 0 a 30 dias,claro,MOVIL,1417,1963,1085,878,2792,2196,596,178643621.26,178643621.26
DRTV,1) 0 a 30 dias,movistar,MOVIL,990,1483,641,842,1886,1624,262,127505932.50,127505932.50
DRTV,1) 0 a 30 dias,personal,MOVIL,1668,2599,969,1630,6157,2440,3717,201306472.06,201306472.06
DRTV,1) 0 a 30 dias,Sin proveedor,FIJO,73,75,11,64,105,80,25,10127918.58,10127918.58
DRTV,1) 0 a 30 dias,Sin proveedor,MOVIL,2,2,0,2,7,1,6,311555.22,311555.22
DRTV,1) 0 a 30 dias,telecentro,FIJO,17,17,5,12,15,15,0,2828127.33,2828127.33
DRTV,1) 0 a 30 dias,telecom,FIJO,239,271,22,249,502,309,193,34297256.96,34297256.96
DRTV,1) 0 a 30 dias,telefonica,FIJO,279,317,26,291,360,320,40,40437956.44,40437956.44
DRTV,2) 31 a 60 dias,claro,FIJO,9,9,1,8,47,21,26,893163.67,893163.67
DRTV,2) 31 a 60 dias,claro,MOVIL,1303,1813,637,1176,4896,3345,1551,133973284.88,133973284.88
DRTV,2) 31 a 60 dias,movistar,MOVIL,972,1425,458,967,3670,2638,1032,103823055.54,103823055.54
DRTV,2) 31 a 60 dias,personal,MOVIL,1639,2616,709,1907,13789,4007,9782,157501182.79,157501182.79
DRTV,2) 31 a 60 dias,Sin proveedor,FIJO,52,56,12,44,134,98,36,6537953.94,6537953.94
DRTV,2) 31 a 60 dias,Sin proveedor,MOVIL,1,1,0,1,7,1,6,72158.86,72158.86
DRTV,2) 31 a 60 dias,telecentro,FIJO,5,5,2,3,6,6,0,466992.61,466992.61
DRTV,2) 31 a 60 dias,telecom,FIJO,172,196,20,176,772,416,356,19461005.35,19461005.35
DRTV,2) 31 a 60 dias,telefonica,FIJO,195,230,24,206,639,444,195,23374201.85,23374201.85
DRTV,3) 61 a 90 dias,claro,FIJO,6,6,2,4,10,10,0,550825.40,550825.40
DRTV,3) 61 a 90 dias,claro,MOVIL,1413,1929,621,1308,4924,3540,1384,156794845.65,156794845.65
DRTV,3) 61 a 90 dias,movistar,MOVIL,947,1432,327,1105,3342,2406,936,106114005.58,106114005.58
DRTV,3) 61 a 90 dias,personal,MOVIL,1862,2842,732,2110,14078,4372,9706,194480112.87,194480112.87
DRTV,3) 61 a 90 dias,Sin proveedor,FIJO,70,73,10,63,268,154,114,9544305.84,9544305.84
DRTV,3) 61 a 90 dias,Sin proveedor,MOVIL,1,1,1,0,7,1,6,136902.94,136902.94
DRTV,3) 61 a 90 dias,telecentro,FIJO,8,8,1,7,11,9,2,931974.72,931974.72
DRTV,3) 61 a 90 dias,telecom,FIJO,238,265,23,242,969,518,451,28904871.77,28904871.77
DRTV,3) 61 a 90 dias,telefonica,FIJO,228,264,24,240,633,477,156,25997908.67,25997908.67
DRTV,4) 91 a 180 dias,claro,FIJO,11,11,5,6,4,3,1,1035283.18,1035283.18
DRTV,4) 91 a 180 dias,claro,MOVIL,1888,2529,1003,1526,741,571,170,189437101.67,189437101.67
DRTV,4) 91 a 180 dias,movistar,MOVIL,1259,1878,458,1420,540,426,114,125499137.51,125499137.51
DRTV,4) 91 a 180 dias,personal,MOVIL,2443,3717,990,2727,1923,843,1080,237675270.07,237675270.07
DRTV,4) 91 a 180 dias,Sin proveedor,FIJO,91,100,24,76,54,40,14,9764518.14,9764518.14
DRTV,4) 91 a 180 dias,Sin proveedor,MOVIL,3,3,0,3,5,2,3,182662.29,182662.29
DRTV,4) 91 a 180 dias,telecentro,FIJO,18,19,3,16,3,2,1,2319449.51,2319449.51
DRTV,4) 91 a 180 dias,telecom,FIJO,284,331,32,299,209,117,92,31909919.80,31909919.80
DRTV,4) 91 a 180 dias,telefonica,FIJO,322,377,34,343,132,107,25,32721356.26,32721356.26
DRTW,1) 0 a 30 dias,claro,FIJO,4,4,1,3,57,8,49,1024029.32,1024029.32
DRTW,1) 0 a 30 dias,claro,MOVIL,775,1134,707,427,3541,2103,1438,117126692.91,117126692.91
DRTW,1) 0 a 30 dias,movistar,MOVIL,576,929,452,477,2704,1616,1088,86236727.07,86236727.07
DRTW,1) 0 a 30 dias,personal,MOVIL,825,1323,583,740,10428,2177,8251,114555635.95,114555635.95
DRTW,1) 0 a 30 dias,Sin proveedor,FIJO,62,65,16,49,304,128,176,11583637.10,11583637.10
DRTW,1) 0 a 30 dias,Sin proveedor,MOVIL,2,2,0,2,3,3,0,516271.86,516271.86
DRTW,1) 0 a 30 dias,telecentro,FIJO,10,10,0,10,19,19,0,1419718.01,1419718.01
DRTW,1) 0 a 30 dias,telecom,FIJO,166,201,20,181,1361,409,952,28965315.16,28965315.16
DRTW,1) 0 a 30 dias,telefonica,FIJO,193,219,30,189,846,404,442,32332585.81,32332585.81
DRTW,2) 31 a 60 dias,claro,FIJO,4,4,1,3,45,12,33,480150.73,480150.73
DRTW,2) 31 a 60 dias,claro,MOVIL,817,1146,355,791,6347,3405,2942,103024757.34,103024757.34
DRTW,2) 31 a 60 dias,movistar,MOVIL,568,890,259,631,4435,2476,1959,75262254.50,75262254.50
DRTW,2) 31 a 60 dias,personal,MOVIL,1018,1680,418,1262,21028,4159,16869,125414222.86,125414222.86
DRTW,2) 31 a 60 dias,Sin proveedor,FIJO,43,48,7,41,301,110,191,6826541.12,6826541.12
DRTW,2) 31 a 60 dias,telecentro,FIJO,6,6,1,5,22,6,16,704863.43,704863.43
DRTW,2) 31 a 60 dias,telecentro,MOVIL,1,1,0,1,5,5,0,60520.00,60520.00
DRTW,2) 31 a 60 dias,telecom,FIJO,131,150,14,136,1811,462,1349,18854837.45,18854837.45
DRTW,2) 31 a 60 dias,telefonica,FIJO,189,211,23,188,1095,576,519,30150791.53,30150791.53
DRTW,3) 61 a 90 dias,claro,FIJO,10,10,3,7,98,39,59,1187019.50,1187019.50
DRTW,3) 61 a 90 dias,claro,MOVIL,1067,1580,496,1084,8235,4899,3336,122935154.24,122935154.24
DRTW,3) 61 a 90 dias,movistar,MOVIL,780,1192,278,914,5387,3467,1920,96419515.58,96419515.58
DRTW,3) 61 a 90 dias,personal,MOVIL,1344,2217,547,1670,24065,5449,18616,153230072.56,153230072.56
DRTW,3) 61 a 90 dias,Sin proveedor,FIJO,65,68,15,53,573,210,363,9353059.20,9353059.20
DRTW,3) 61 a 90 dias,Sin proveedor,MOVIL,2,2,0,2,41,6,35,230242.18,230242.18
DRTW,3) 61 a 90 dias,telecentro,FIJO,4,4,1,3,42,5,37,515607.26,515607.26
DRTW,3) 61 a 90 dias,telecom,FIJO,191,223,28,195,2297,734,1563,26482017.10,26482017.10
DRTW,3) 61 a 90 dias,telefonica,FIJO,209,246,26,220,1393,768,625,27801418.23,27801418.23
DRTW,4) 91 a 180 dias,claro,FIJO,7,7,1,6,24,12,12,872530.49,872530.49
DRTW,4) 91 a 180 dias,claro,MOVIL,1054,1486,603,883,3880,3178,702,132267698.16,132267698.16
DRTW,4) 91 a 180 dias,movistar,MOVIL,656,1040,238,802,2077,1788,289,85590805.02,85590805.02
DRTW,4) 91 a 180 dias,personal,MOVIL,1328,2169,546,1623,6817,3331,3486,155495930.00,155495930.00
